Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic) ,Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1001863,1.10E+11,"WAUPACA FOUNDRY, INC-PLANTS 2 & 3",WAUPACA,WI,54981,1955 BRUNNER DRIVE,WAUPACA COUNTY,44.36,-89.05,331511,C,Metals,188160.432,187083.3,396.5,680.632,,,,,,,,,,188160.432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007061,1.10E+11,WAYNE COUNTY LANDFILL,FAIRFIELD,IL,62837,,WAYNE COUNTY,38.36,-88.37,562212,HH,Waste,38807,,38807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38807,,,,N,N,N
1005556,1.10E+11,WAYNE STATE UNIVERSITY,DETROIT,MI,48202,5454 Cass Avenue,WAYNE COUNTY,42.36,-83.07,611310,C,Other,36023.564,35986.3,17,20.264,,,,,,,,,,36023.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1013807,,WCA Pauls Valley Landfill,Spencer,OK,73084,2601 N Midwest Landfill,,35.5,-97.4,562212,HH,Waste,31580.25,,31580.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31580.25,,,,N,N,N
1004799,1.10E+11,WE HEREFORD LLC,HEREFORD,TX,79045,3748 S PROGRESSIVE ROAD,DEAF SMITH COUNTY,34.82,-102.37,325193,C,Other,107465.596,107354.9,50.5,60.196,,,,,,,,,,107465.596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006135,1.10E+11,WEBSTER PARISH LANDFILL,MINDEN,LA,71055,493 LANDFILL RD,WEBSTER PARISH,32.63,-93.39,562212,HH,Waste,16692.5,,16692.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16692.5,,,,N,N,N
1003526,1.10E+11,WEDRON COMPLEX (WEDRON SILICA CO & TECHNISAND WEDRON),WEDRON,IL,60557,3450 E 2056TH RD,LASALLE COUNTY,41.43,-88.77,212322,C,Other,66546.8,66478.3,31.25,37.25,,,,,,,,,,66546.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1006651,1.10E+11,WELLESLEY COLLEGE,WELLESLEY,MA,2481,106 CENTRAL ST,NORFOLK COUNTY,42.3,-71.3,611310,C,Other,16096.228,16077.5,8,10.728,,,,,,,,,,16096.228,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1004251,1.10E+11,WELLFORD LANDFILL,WELLFORD,SC,29385,595 LITTLE MOUNTAIN ROAD,SPARTANBURG COUNTY,34.99,-82.14,562212,"C,HH",Waste,74056.788,,74055,1.788,,,,,,,,,489,2.538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74054.25,,,,N,N,N
1007889,1.10E+11,WEST CAMDEN SANITARY LANDFILL,CAMDEN,TN,38320,2410 HIGHWAY 70 WEST,BENTON COUNTY,36.05,-88.14,562212,"C,HH",Waste,75230.58,152.3,75008.25,70.03,,,,,,,,,19368.9,252.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74978.25,,,,N,N,N
