Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address,County,Latitude,Longitude,Primary NAICS Code,Industry Type (subparts),Industry Type (sectors),Total reported direct emissions,CO2 emissions (non-biogenic),Methane (CH4) emissions ,Nitrous Oxide (N2O) emissions ,HFC emissions,PFC emissions,SF6 emissions ,NF3 emissions,Other Fully Fluorinated GHG emissions,HFE emissions,Very Short-lived Compounds emissions,Other GHGs (metric tons CO2e),Biogenic CO2 emissions (metric tons),Stationary Combustion,Electricity Generation,Adipic Acid Production,Aluminum Production,Ammonia Manufacturing,Cement Production,Electronics Manufacture,Ferroalloy Production,Fluorinated GHG Production,Glass Production,HCFC22 Production from HFC23 Destruction,Hydrogen Production,Iron and Steel Production,Lead Production,Lime Production,Magnesium Production,Miscellaneous Use of Carbonates,Nitric Acid Production,Petroleum and Natural Gas Systems - Offshore Production,Petroleum and Natural Gas Systems - Processing,Petroleum and Natural Gas Systems - Transmission/Compression,Petroleum and Natural Gas Systems - Underground Storage,Petroleum and Natural Gas Systems - LNG Storage,Petroleum and Natural Gas Systems - LNG Import/Export,Petrochemical Production,Petroleum Refining,Phosphoric Acid Production,Pulp and Paper Manufacturing,Silicon Carbide Production,Soda Ash Manufacturing,Titanium Dioxide Production,Underground Coal Mines,Zinc Production,Municipal Landfills,Industrial Wastewater Treatment,Manufacture of Electric Transmission and Distribution Equipment,Industrial Waste Landfills,CO2 used for NH3 / Lime?,Supplier of CO2?,CEMS?
1006621,1.10E+11,WESTLAKE VINYLS INC,CALVERT CITY,KY,42029,2672INDUSTRIAL PKWY,MARSHALL COUNTY,37.05,-88.33,325110,"C,X",Chemicals,533458.97,529254.1,3075.75,1129.12,,,,,,,,,,428071.86,,,,,,,,,,,,,,,,,,,,,,,,105387.11,,,,,,,,,,,,,N,N,N
1000291,1.10E+11,WESTMORELAND SANITARY LDFL,BELLE VERNON,PA,15012,111 CONNER LN,WESTMORELAND COUNTY,40.14,-79.86,562212,HH,Waste,41693.5,,41693.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41693.5,,,,N,N,N
1004024,1.10E+11,WESTROCK (DALLAS MILL),DALLAS,TX,75203,1120 E. CLARENDON DR.,DALLAS COUNTY,32.74,-96.81,322130,C,Pulp and Paper,31585.63,31553.3,14.75,17.58,,,,,,,,,,31585.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007871,1.10E+11,"WESTROCK CALIFORNIA, LLC",BATTLE CREEK,MI,49037,177 ANGELL STREET,CALHOUN COUNTY,42.32,-85.21,322130,C,Pulp and Paper,56743.64,56685,26.75,31.89,,,,,,,,,,56743.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1007804,1.10E+11,WESTROCK CONVERTING COMPANY - CHATTANOOGA MILL,CHATTANOOGA,TN,37405,701 MANUFACTURERS ROAD,HAMILTON COUNTY,35.06,-85.32,322130,C,Pulp and Paper,47011.22,46963,22,26.22,,,,,,,,,,47011.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005768,1.10E+11,WESTROCK CONVERTING COMPANY - STROUDSBURG MILL,DELAWARE WATER GAP,PA,18327,242 PAPER MILL ROAD,MONROE COUNTY,41,-75.15,322130,C,Pulp and Paper,28258.04,28229,13.25,15.79,,,,,,,,,,28258.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,N,N
1005012,1.10E+11,"WESTROCK CP, LLC - HODGE MILL",HODGE,LA,71247,100 MILL STREET,JACKSON PARISH,32.28,-92.73,322130,"AA,C",Pulp and Paper,365928.99,358885,1402.25,5641.74,,,,,,,,,1316714.6,282496.15,,,,,,,,,,,,,,,,,,,,,,,,,,,83432.83,,,,,,,,,,N,N,N
1006454,1.10E+11,WESTROCK LONGVIEW LLC,LONGVIEW,WA,98632,300 FIBRE WAY,COWLITZ COUNTY,46.1,-122.92,322130,"AA,C",Pulp and Paper,195785.09,189259.3,1279.5,5246.29,,,,,,,,,1346047.5,111151.23,,,,,,,,,,,,,,,,,,,,,,,,,,,84633.86,,,,,,,,,,N,N,N
1002305,1.10E+11,"WESTROCK TEXAS, L.P.",EVADALE,TX,77615,1913 FM 105,JASPER COUNTY,30.34,-94.07,322130,"AA,C,TT","Pulp and Paper,Waste",459831.99,350753.9,102304.25,6773.84,,,,,,,,,1605454.4,262848.67,,,,,,,,,,,,,,,,,,,,,,,,,,,96334.82,,,,,,,,,100648.5,N,N,N
1007831,1.10E+11,WESTSIDE RECYCLING AND DISPOSAL FACILITY,THREE RIVERS,MI,49093,14094 M 60,ST. JOSEPH COUNTY,41.92,-85.68,562212,"C,HH",Waste,55954.2,1263.6,54690,0.6,,,,,,,,,,1264.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54689.5,,,,N,N,N
